get-user-no-db

n_calls runtime(s) latency(ms) throughput(ops/s)
100 01.178 11.78000 84.88964
200 02.207 11.03000 90.66183
300 03.414 11.38000 87.87346
400 04.580 11.45000 87.33624
500 06.131 12.26000 81.56606
800 09.464 11.83000 84.53085
1000 015.107 15.10000 66.22516
2000 031.869 15.93000 62.77463
5000 128.125 25.62000 39.03200
