get-user-remote-ispn-volatile

n_calls runtime(s) latency(ms) throughput(ops/s)
100 01.366 13.66000 73.20644
200 02.795 13.97000 71.58196
300 03.965 13.21000 75.70022
400 05.444 13.61000 73.47538
500 06.985 13.97000 71.58196
800 011.177 13.97000 71.58196
1000 016.042 16.04000 62.34413
2000 039.652 19.82000 50.45408
5000 147.238 29.44000 33.96739
