get-user

n_calls runtime(s) latency(ms) throughput(ops/s)
100 01.851 18.51000 54.02485
200 03.184 15.92000 62.81407
300 05.204 17.34000 57.67012
400 06.641 16.60000 60.24096
500 08.565 17.13000 58.37711
800 013.425 16.78000 59.59475
1000 023.241 23.24000 43.02925
2000 040.254 20.12000 49.70178
5000 153.419 30.68000 32.59452
