create-new-contact-remote-ispn-filestore

n_calls runtime(s) latency(ms) throughput(ops/s)
100 02.594 25.94000 38.55050
200 06.517 29.58000 30.69367
300 08.884 29.61000 33.77237
400 010.934 27.33000 36.58982
500 014.555 29.11000 34.35245
800 023.188 28.98000 34.50655
1000 026.786 26.78000 37.34129
2000 15.438 7.71000 129.70168
5000 146.610 29.32000 34.10641
