create-new-contact-remote-ispn-volatile

n_calls runtime(s) latency(ms) throughput(ops/s)
100 02.112 21.12000 47.34848
200 04.375 21.87000 45.72473
300 06.743 22.47000 44.50378
400 010.106 25.26000 39.58828
500 010.918 21.83000 45.80852
800 017.516 21.89000 45.68296
1000 024.305 24.30000 41.15226
2000 12.426 6.21000 161.03059
5000 146.889 29.37000 34.04834
