create-new-contact-mongo

n_calls runtime(s) latency(ms) throughput(ops/s)
100 03.579 35.79000 27.94076
200 06.463 32.31000 30.95017
300 09.084 30.28000 33.02509
400 012.223 30.55000 32.73322
500 016.551 33.10000 30.21148
800 024.222 30.27000 33.03600
1000 029.936 29.93000 33.41129
2000 126.595 63.29000 15.80028
5000 140.188 28.03000 35.67606
