create-new-contact-no-db

n_calls runtime(s) latency(ms) throughput(ops/s)
100 00.922 9.22000 108.45986
200 01.848 9.24000 108.22510
300 03.256 10.85000 92.16589
400 04.024 10.06000 99.40357
500 05.315 10.63000 94.07337
800 09.468 11.83000 84.53085
1000 012.115 12.11000 82.57638
2000 031.635 15.81000 63.25110
5000 150.287 30.05000 33.27787
